child_num,hex_id,dns_mapping,notes
212,6kgrvfaeaaaa,0.0.0.0.0.0.1.0.4.2.2.5.1.2.3.20.h3.vichex.ca.,
213,6kgrvvaeaaaa,0.0.0.0.0.0.1.0.4.2.3.5.1.2.3.20.h3.vichex.ca.,
214,6kgrwfaeaaaa,0.0.0.0.0.0.1.0.4.2.4.5.1.2.3.20.h3.vichex.ca.,
215,6kgrwvaeaaaa,0.0.0.0.0.0.1.0.4.2.5.5.1.2.3.20.h3.vichex.ca.,
216,6kgrxfaeaaaa,0.0.0.0.0.0.1.0.4.2.6.5.1.2.3.20.h3.vichex.ca.,
217,6kgruhaeaaaa,0.0.0.0.0.0.1.0.4.3.0.5.1.2.3.20.h3.vichex.ca.,
218,6kgruxaeaaaa,0.0.0.0.0.0.1.0.4.3.1.5.1.2.3.20.h3.vichex.ca.,
219,6kgrvhaeaaaa,0.0.0.0.0.0.1.0.4.3.2.5.1.2.3.20.h3.vichex.ca.,
220,6kgrvxaeaaaa,0.0.0.0.0.0.1.0.4.3.3.5.1.2.3.20.h3.vichex.ca.,
221,6kgrwhaeaaaa,0.0.0.0.0.0.1.0.4.3.4.5.1.2.3.20.h3.vichex.ca.,
222,6kgrwxaeaaaa,0.0.0.0.0.0.1.0.4.3.5.5.1.2.3.20.h3.vichex.ca.,
223,6kgrxhaeaaaa,0.0.0.0.0.0.1.0.4.3.6.5.1.2.3.20.h3.vichex.ca.,
224,6kgrujaeaaaa,0.0.0.0.0.0.1.0.4.4.0.5.1.2.3.20.h3.vichex.ca.,
225,6kgruzaeaaaa,0.0.0.0.0.0.1.0.4.4.1.5.1.2.3.20.h3.vichex.ca.,
226,6kgrvjaeaaaa,0.0.0.0.0.0.1.0.4.4.2.5.1.2.3.20.h3.vichex.ca.,
227,6kgrvzaeaaaa,0.0.0.0.0.0.1.0.4.4.3.5.1.2.3.20.h3.vichex.ca.,
228,6kgrwjaeaaaa,0.0.0.0.0.0.1.0.4.4.4.5.1.2.3.20.h3.vichex.ca.,
229,6kgrwzaeaaaa,0.0.0.0.0.0.1.0.4.4.5.5.1.2.3.20.h3.vichex.ca.,
230,6kgrxjaeaaaa,0.0.0.0.0.0.1.0.4.4.6.5.1.2.3.20.h3.vichex.ca.,
231,6kgrulaeaaaa,0.0.0.0.0.0.1.0.4.5.0.5.1.2.3.20.h3.vichex.ca.,
232,6kgru3aeaaaa,0.0.0.0.0.0.1.0.4.5.1.5.1.2.3.20.h3.vichex.ca.,
233,6kgrvlaeaaaa,0.0.0.0.0.0.1.0.4.5.2.5.1.2.3.20.h3.vichex.ca.,"North Park Common Crawl Common Crawl"
234,6kgrv3aeaaaa,0.0.0.0.0.0.1.0.4.5.3.5.1.2.3.20.h3.vichex.ca.,
235,6kgrwlaeaaaa,0.0.0.0.0.0.1.0.4.5.4.5.1.2.3.20.h3.vichex.ca.,
236,6kgrw3aeaaaa,0.0.0.0.0.0.1.0.4.5.5.5.1.2.3.20.h3.vichex.ca.,
